team,name,state,country,district,rookie_year,active,norm_epa,wins,losses,ties,count,winrate
339,Kilroy Robotics,VA,USA,chs,2000,t,1468,250,215,15,480,0.5365
340,G.R.R. (Greater Rochester Robotics),NY,USA,NULL,2000,t,1606,415,234,9,658,0.6375
341,Miss Daisy,PA,USA,fma,2000,t,1677,641,396,18,1055,0.6161
342,Burning Magnetos,SC,USA,pch,2000,t,1556,278,254,8,540,0.5222
343,Metal-In-Motion,SC,USA,pch,2000,t,1640,427,262,15,704,0.6172
345,NORSTAR,VA,USA,NULL,2000,f,1326,23,32,2,57,0.4211
346,RoboHawks,VA,USA,chs,2000,t,1609,339,236,18,593,0.5868
348,Norwell Robotics,MA,USA,ne,2000,t,1438,340,315,13,668,0.5187
350,Timberlane Robotics,NH,USA,NULL,2000,f,1389,16,23,4,43,0.4186
352,The Green Machine,NY,USA,NULL,2000,f,1465,68,115,5,188,0.375
353,POBots,NY,USA,NULL,2000,t,1590,212,200,5,417,0.5144
354,G-House Pirates,NY,USA,NULL,2000,t,1506,171,147,8,326,0.5368
356,Enigma,AR,USA,NULL,2000,f,1539,29,24,0,53,0.5472
357,Royal Assault,PA,USA,fma,2000,f,1482,216,238,6,460,0.4761
358,Robotic Eagles,NY,USA,NULL,2000,t,1504,372,261,7,640,0.5867
359,Hawaiian Kids,HI,USA,NULL,2000,t,1717,758,268,8,1034,0.7369
360,The Revolution,WA,USA,pnw,2000,t,1630,382,290,15,687,0.567
362,The Muses,CA,USA,NULL,2000,f,1438,50,101,3,154,0.3344
364,Team Fusion 364,MS,USA,NULL,2000,t,1552,370,191,9,570,0.657
365,Miracle Workerz,DE,USA,fma,2000,t,1580,607,376,13,996,0.616
367,Team 367,DE,USA,NULL,2000,f,1683,6,4,0,10,0.6
368,Team Kika Mana,HI,USA,NULL,2000,t,1670,413,197,4,614,0.6759
369,High Voltage Robotics,NY,USA,NULL,2000,t,1626,182,181,12,375,0.5013
371,Cyber Warriors,NY,USA,NULL,2000,f,1399,78,133,8,219,0.3744
